clip,chapter,speaker_jp,japanese,chinese,sec
ner0072,7,ねり,"ねーねー一人旅だよ？　危険だよ？
ねりのナイトになってよー。","我说啊，我可是要一个人去参加旅行哦？　很危险哦？
来当音理的白马骑士啊<dash=2>。",6.897
ner0073,7,ねり,でしょ？,是吧？,0.64
ner0074,7,ねり,えー？,哎？,1.98
ner0075,7,ねり,むー。,呣<dash=2>。,1.913
ner0076,7,ねり,まあお仕事なら仕方ないけど。,不过，如果有工作的话，那也没办法了。,3.939
ner0077,7,ねり,でもせっかくお兄ちゃんと……うー。,但是难得可以和哥哥……唔<dash=2>。,5.051
ner0078,7,ねり,ほんとっ？,真的吗？,0.58
ner0079,7,ねり,うん。,嗯。,0.542
ner0080,7,ねり,……えへ、お仕事、忙しいんだよね。,……嘿嘿，你工作很忙吧。,3.642
ner0081,7,ねり,"ねー、だからねりの言うとおり
続けててよかったでしょ。","我说啊，
像音理所说的那样继续了下去是件好事吧。",4.126
ner0082,7,ねり,"引っ越してきたばっかりのころは
何もしたくないとかなんとか。","刚搬过来的时候，
还说什么都不想做的。",4.915
ner0083,7,ねり,"ねりのおかげでいま忙しいんだから、
今度はねりのためにお休みくらい取ってよ。","多亏了音理，你现在很忙碌，
所以说这次就为了音理休息休息吧。",6.255
ner0084,7,ねり,うんっ。,嗯。,0.449
ner0085,7,ねり,……。,……,3.184
ner0086,7,ねり,えへへ、だからお兄ちゃん好き。,哎嘿嘿，所以我喜欢哥哥啊。,3.786
ner0087,7,ねり,"じゃっ、夕方また来るねお兄ちゃん。
焼きうどんごちそうさま～！","那么，傍晚我再来哦，哥哥。
谢谢你的炒乌冬～！",5.614
ner0088,7,ねり,ンもう、お兄ちゃんはエッチなんだから。,真是的，哥哥真色。,3.375
ner0089,7,ねり,でもよかったね、猫ちゃん、木から下りられて。,不过小猫从树上下来了，真是太好了。,3.345
ner0090,7,ねり,"えへへ、お礼はともかく、
抱っこくらいはさせてほしかったかな。","哎嘿嘿，先不说谢礼，
真希望它可以让我抱抱呢。",5.967
ner0091,7,ねり,あーでも猫いいなあ。いいなあ猫。,啊<dash=2>但是猫真好啊。猫真好啊。,5.086
ner0092,7,ねり,"犬もいいけどね。
今日は猫ちゃん見たから猫派。","狗也不错。
可今天我看到了小猫，更喜欢猫。",4.023
ner0093,7,ねり,飼えないのは分かってるけどねー。,不过我知道自己养不了。,2.937
ner0094,7,ねり,"はあ。
でもさ、猫ちゃん助けてるとき、ちょっと期待しちゃった。","唉。
不过呢，救下小猫的时候，我稍微期待了一下。",5.448
ner0095,7,ねり,"あの猫ちゃんがカンペキにあたしに懐いちゃって、
離れようとしなくて、お母さんに隠れて飼うパターン。","我想象了一下“那只小猫完全黏上我了，
根本不愿意离开我，然后我就瞒着妈妈偷偷的养了”的场景。",7.468
ner0096,7,ねり,あーそれいい。それ最高。,啊<dash=2>想法不错。那样最棒了。,2.647
ner0097,7,ねり,むー。,呣<dash=2>。,1.695
ner0098,7,ねり,"飼いたかったなあ。
隠れて飼うのはこの部屋で出来るし。","我真的很想养啊。
要是在这个房间里就能偷偷养了。",5.083
ner0099,7,ねり,木に登ってるときね、もう名前まで考えてた。,爬上树的时候，我都帮它想好名字了。,3.582
ner0100,7,ねり,"ほら、真っ黒で、美人さんな猫ちゃんだったでしょ。
しゅってしてて。","你看，她全身都是黑的，而且还很美吧，
还一下就逃了。",5.325
ner0101,7,ねり,"それで、最初は『クロ』がいいと思ったけど、
もっとおしゃれな名前がいいと思ったの。","因此，一开始我觉得叫它“小黑”挺不错的，
但之后又觉得应该取个更加时尚的名字。",5.714
ner0102,7,ねり,だから、ノワール。,所以说，叫Noir。,1.971
ner0103,7,ねり,あの子の名前は、ノワールなの。,小猫的名字叫诺瓦。,2.516
ner0104,7,ねり,女の子の髪ってのはね、気安く触っちゃダメなんだから。,可不能这么轻易地碰女孩子的头发喔。,4.874
ner0105,9,ねり,ねえねえお兄ちゃん。,我说啊，哥哥。,1.709
ner0106,9,ねり,汽車の旅ってお尻痛くならないかな。,火车旅行…会不会坐得屁股痛啊。,4.353
ner0107,9,ねり,"かあ。
困ったなあ、ねり、お尻痛くなりやすいのよね。","啊。
那就麻烦了，我的屁股很容易坐疼啊。",6.857
ner0108,9,ねり,どうしようお兄ちゃん。,怎么办啊，哥哥。,2.364
ner0109,9,ねり,"ンも～甲斐性なしねえ。
こういうときは、俺のヒザに乗ればいいよベイビーでしょ。","真是的～真没出息啊。
这种时候，你应该说“坐在我的膝盖上就好了啦，宝贝”。",7.995
ner0110,9,ねり,お前のお尻は俺に任せろ！　でしょ。,“就把你的屁股交给我吧！”这样呢！,3.589
ner0111,9,ねり,頼りがいがないなあお兄ちゃんは。,哥哥真是不可靠啊。,2.76
ner0112,9,ねり,えっち。,真色。,0.684
ner0113,9,ねり,"はー、旅行、楽しみだけどドキドキするな～
どんな感じなんだろ。",哈——，旅行，感觉又期待又紧张啊～到底会是怎样的呢。,6.533
ner0114,9,ねり,楽しいといいね。,希望能玩得开心呢。,1.27
ner0115,9,ねり,"どんなところをまわるんだろ。
やっぱこう、異世界みたいなところがいいよね。
西部劇の世界とか。","会转到哪儿呢。
看来还是异世界之类的地方比较好啊。
再比如西部片的世界。",7.552
ner0116,9,ねり,あ、それそれ。それいい。,啊，就是那里。那里不错。,2.723
ner0117,9,ねり,"それでね、森の奥にはフェアリーとかがいて、
襲ってくるゴブリンをねりがやっつけて仲良くなってね。","然后呢，森林深处还有妖精一类的，
音理解决了袭来的哥布林之后和她们成为好朋友。",8.469
ner0118,9,ねり,森の奥の、そのまた深くに……。,森林深处，更深处……,3.403
ner0119,9,ねり,……。,……,1.132
ner0120,9,ねり,……うん。,……嗯。,0.802
ner0121,9,ねり,森の奥にはね、木で出来たおうちがあるの。,森林深处，有个用木头制成的家。,3.943
ner0122,9,ねり,"おうちには仲良しの家族が住んでいて。
みんな幸せにくらしていてね。","家里住着关系很和睦的一家人。
大家都幸福地生活在那里。",5.485
ner0123,9,ねり,でもそこの女の子は、ずっと病気がちなの。,可那里的女孩，体弱多病。,4.266
ner0124,9,ねり,身体が弱くてね。外を出歩くのも苦労するくらいで。,身体柔弱到出门走动都要大费周折。,4.846
ner0125,9,ねり,"お父さんもお母さんも心配してるけど、
その子はどんどん弱っていくの。","父亲和母亲都很担心她，
可女孩的身体还是日渐衰弱。",5.926
ner0126,9,ねり,"お父さんとお母さんはね、動物を食べるのが嫌だから
子供にもそういう食生活をするよう言うんだけど。","爸爸和妈妈都不愿意吃肉，
因此也禁止孩子食用动物肉。",8.56
ner0127,9,ねり,"成長期なのに栄養が足りないからだろうね。
骨は折れやすくて、病気に抵抗力もなくて。","或许她处于生长期营养不足导致的吧。
骨头脆弱，抵抗力低下到难以抵御疾病。",8.321
ner0128,9,ねり,"でもお父さんとお母さんは、お肉を食べないのは
いいこととしか思ってないから、
子供がどんどん弱っていっても不思議に思うばかりで。","可是爸爸和妈妈依旧觉得不吃肉才是好的，
孩子的身体日渐脆弱，
他们却觉得这是不可思议的事情。",11.331
ner0129,9,ねり,"あるとき女の子は、森のなかのどこかには
猫が開いたレストランがあるというお話を聞くの。","某一天，
女孩听说在森林的某个地方有一家由猫开的餐馆。",7.865
ner0130,9,ねり,"両親が言うから食べたことはないけれど、
一度で良いからお肉を食べてみたいと思っていた彼女は
そのお店を探そうとする。","因双亲的禁令导致女孩从未吃过肉，
但她想着哪怕仅一次也想尝尝肉的滋味，
因此她开始寻找那家店。",10.323
ner0131,9,ねり,弱った身体で、森へ入って。,她拖着脆弱的身体，走进了森林。,3.437
ner0132,9,ねり,でもやっぱり、お店は見付からなかった。,没有找到也在情理之中。,3.642
ner0133,9,ねり,"お店にはたどり着けない。
そして彼女には、家に帰るだけの体力もない。","她最终没能找到，
还耗尽了所有的体力。",6.971
ner0134,9,ねり,"なんとかご両親が探しに来てくれたんだけれど、
彼女はもう自分で動くことも出来なくなっててね。","女孩的双亲找到了她，
然而她已经动不了了。",8.48
ner0135,9,ねり,"言いつけを破った彼女は、
もうおうちから出してもらえなくなったの。","因为破坏了与父母的约定，
女孩再也无法踏出家门一步。",4.803
ner0136,9,ねり,"わたしのせいじゃない。
森にお化けがいて、さらわれたんだって言い訳したけど、
もう自由に外には出られなくなった。","女孩找借口说不是她的错，
是森林里的怪物将她拐了出去，
但依然没能改变父母的决定。",8.897
ner0137,9,ねり,そんな可哀想な女の子のおうちがあるの。,有一间房子，住着这样一位可怜的女孩。,4.617
ner0138,9,ねり,お兄ちゃん……。,哥哥……,0.821
ner0139,9,ねり,無理しないで、お兄ちゃん。,请不要逞强，哥哥。,2.413
ner0140,10,ねり,ねえねえお兄ちゃん。,喂喂哥哥。,1.365
ner0141,10,ねり,ひざまくらしてあげよっか。,要我给你膝枕么。,2.229
ner0142,10,ねり,ひーざーまーくーら。知らないの？,膝～枕～不知道吗？,3.403
ner0143,10,ねり,して欲しくない？,不想要吗？,1.739
ner0144,10,ねり,"なんかね、ものの本にあったのよ。
男の人って可愛い女の子にひざまくらされると、
元気が出るって。","好像书上有写的。
男生枕着可爱女孩子的大腿，
会变得精神起来。",8.384
ner0145,10,ねり,お兄ちゃんが前にやってたギャルゲー。,哥哥以前玩的美少女游戏。,2.611
ner0146,10,ねり,ねっ、やってあげる。,来，我做给你试试。,1.848
ner0147,10,ねり,"元気出るよ絶対。
ゲームが言ってたし、ねりはこんなに美少女。","绝对会精神起来的哦。
游戏里也这么说了，音理我又是这样的美少女。",5.836
ner0148,10,ねり,ほんとに～？,真的～？,1.555
ner0149,10,ねり,恥ずかしがらなくてもいいのに。,明明不用这么害羞的。,2.828
ner0150,10,ねり,ンもう。,真是的。,0.992
ner0151,10,ねり,"まあでも、欲しくなったらいつでも言ってね。
ねりがヒマなときはしてあげるから。","不过，真想要了就对我说哦。
音理我闲着的时候会做给你的。",5.781
ner0152,10,ねり,……。,……,1.705
ner0153,10,ねり,……。,……,1.194
ner0154,10,ねり,……くすっ。,……嘻嘻。,0.756
ner0155,10,ねり,元気になるでしょ。,这不就精神了嘛。,1.503
ner0156,11,ねり,……。,……,1.133
ner0157,11,ねり,えへ。,哎嘿。,0.636
ner0158,11,ねり,函館。,函馆。,0.924
ner0159,11,ねり,行ったことないけど、どんな街なの？,我没去过，那是怎样的一个地方啊？,2.796
ner0160,11,ねり,へえ。,是吗～,1.346
ner0161,11,ねり,涼しいのかな。,不知道凉不凉快。,1.536
ner0162,11,ねり,いいなあ……えへへ、今年の夏休み、行きたいな。,真好啊……嘿嘿，今年暑假真想去。,6.685
ner0163,11,ねり,うん。,嗯。,0.524
ner0164,11,ねり,……。,……,0.921
ner0165,11,ねり,そこにはね、可哀想な女の子がいるの。,在那里呢，有个很可怜的女孩子。,3.993
ner0166,11,ねり,"函館は、観光の街で。
観光客のお相手をしてれば家が困ることはなくて。","函馆是个旅游景点。
只要照顾好游客，家里就能过得殷实。",6.928
ner0167,11,ねり,"でもそれで養える子供は１人までなの。
お店を２個持てるほど恵まれた家はそんなにないの。","但这么做只能养一个孩子。
不是每个家庭都能有两家店铺的。",9.137
ner0168,11,ねり,"女の子は、その家の次女でね。
昔から実家の小料理屋を手伝ってきて。","女孩子是家里的老二。
小时候就在帮家里店铺打下手。",7.531
ner0169,11,ねり,"楽しんでたんだよそこでの生活は。
美人で評判で、お店じゃお客さんにちやほやされるし、
学校の部活でも主役ばっかり。","在那的生活还是挺开心的。
又漂亮，在店里又受客人们欢迎，
在学校的社团活动里也是主角。",10.677
ner0170,11,ねり,"でも高校生の時に、お姉ちゃんが結婚して、
お店はその旦那さんが継ぐことになって。","但是那女孩高中的时候，姐姐结婚了，
店铺也就过渡到了男方手里。",7.896
ner0171,11,ねり,将来どうするか、急に自由になったの。,对女孩子而言，未来的选项变多了，更自由了。,3.685
ner0172,11,ねり,"うん。
美人で、声もよく通ったから、演劇部じゃ一番人気。","嗯。
又漂亮，声音又大方，在戏剧社里相当有人气。",6.116
ner0173,11,ねり,"宙ぶらりんになって、自分には演劇があると思ってね。
なんとなく劇団を目指してみて。","她就变得犹豫不决起来，反正觉得自己有演戏这条路。
所以尝试朝着剧院发展。",7.198
ner0174,11,ねり,"そこでも上手くいってね。
主役の座をたくさん射止めて、色んなお仕事を頼まれて。","结果在剧团也风生水起。
出任了各种戏剧的主角，被委托了不少工作。",6.325
ner0175,11,ねり,東京の劇団にスカウトされて、上京して。,然后被东京的剧团挖走，来到了首都。,3.471
ner0176,11,ねり,"でも東京には、その子みたいに各地から集まってきた人が
いっぱいいっぱいいたの。","但是在东京，
和那女孩一样被挖过来的人太多了。",7.655
ner0177,11,ねり,才能はあったの。実力もあったの。,她有才能。她有实力。,3.393
ner0178,11,ねり,でもお仕事はなかったの。,但是没能得到工作。,2.045
ner0179,11,ねり,"結局スカウトしてくれた劇団にもいられなくなって。
でも、故郷の函館には帰りにくくて。","最后连挖走她的剧团也不要她了。
但是，也没脸回自己的故乡函馆。",8.025
ner0180,11,ねり,"東北の、東京と函館のちょうど中間あたりで
ぶらぶらしてたみたい。",结果现在在东京东北和函馆的交界处晃悠。,5.713
ner0181,11,ねり,実家のお店も上手くいってるわけじゃなかったみたい。,其实自家的生意也没多好。,3.338
ner0182,11,ねり,"お姉ちゃんやその旦那さんの
重荷にはなりたくなかったんだろうね。",是不想让自己成为姐姐与姐夫的包袱吧。,5.029
ner0183,11,ねり,……。,……,0.622
ner0184,11,ねり,……。,……,0.465
ner0185,11,ねり,ふふっ。,呵呵。,0.613
ner0186,11,ねり,迷惑なんかじゃないよねえ？,不是什么包袱吧？,1.972
ner0187,13,ねり,ねりのお部屋の合い鍵、お兄ちゃんにあげよっか。,要不音理把房间的备用钥匙给哥哥如何。,4.216
ner0188,13,ねり,"んふふー、
ねりに会いたくなったときいつでも来られるでしょ。","嗯哼哼，
这样想见音理的话就随时都可以见了。",5.207
ner0189,13,ねり,そんなもんとは何よ！,这种东西是什么意思嘛！,1.858
ner0190,13,ねり大,あ……それもそっか。,啊……这倒也是。,2.654
ner0191,13,ねり,へー、お兄ちゃん美術の学校出てるんだ～,嘿～，哥哥你上过艺校啊～,4.693
ner0192,13,ねり,"じゃあねりのこと描かせてあげてもいいよ。
可愛く描いてよね。","那就特别准许哥哥把音理画下来吧，
记得画可爱些。",5.523
ner0193,13,ねり,うぐぅ。,呜咕。,2.018
ner0194,13,ねり,"こんな感じでどう？
モデルさんって感じでしょ。","这样感觉如何？
有种模特的感觉对吧。",3.98
ner0195,13,ねり,"こーんなポーズでいい？
とびっきり可愛く描いてよね。","这个动作就行了吗？
记得把我画得超可爱。",4.978
ner0196,13,ねり,いいけど……なんか美人さんすぎて照れるから。,确实不错……但那也太漂亮了反而让音理有点害羞。,4.89
ner0197,13,ねり,ほれほれ～、モデルといえばヌードよね～,来嘛来嘛，说到模特当然就是裸体的啦～,4.65
ner0198,13,ねり,ふふーん、言っとくけど、コーフンしないでよお兄ちゃん。いくらねりの水着がセクスィーだからって。,哼哼~，可别因为穿泳衣性感热辣的音理而发情喔哥哥。,8.471
ner0199,13,ねり,えへへ、これだけねりみたいな可愛い子を描ければお兄ちゃんも満足でしょ。,嘿嘿，可以尽情地画音理这么可爱的女孩子，哥哥你也一定很满足了吧。,6.246
ner0200,13,ねり,よくゆーわ、嬉しそうな顔しちゃって。,真敢说啊，明明一脸那么高兴的样子。,3.839
ner0201,13,ねり,ふふ。,嘿嘿。,0.962
ner0202,13,ねり,……。,……,1.167
ner0203,13,ねり,ねえお兄ちゃん。,哥哥。,1.123
ner0204,13,ねり,ねり、お兄ちゃんの描いてくれる絵、好きだよ。,我很喜欢哥哥画的画喔。,4.396
ner0205,13,ねり,"なんていうか……キラキラしてるの。
宝石みたいなの。","该怎么说呢……闪闪发亮的。
好像宝石一样。",4.935
ner0206,13,ねり,だからね……絵を描くことを嫌いにならないで。,所以……千万不要讨厌画画呢。,4.274
ner0207,13,ねり,ねりならいつでもモデルになってあげるから。,需要的话音理随时都可以给你当模特。,3.125
ner0208,13,？？？,……探して。,……去找出来吧。,0.946
ner0209,13,？？？,心臓の中に……私が隠してある。探して。,我就藏在……心脏之中。找出来吧。,6.419
ner0210,13,？？？,翼の下を……。,就在翅膀之下……,1.389
ner0211,13,ねり,……あう。,……啊呜。,0.519
ner0212,13,ねり,あー……えと。,啊……那个。,2.96
ner0213,13,ねり,はは、見付かっちゃった。,哈哈，被发现了。,2.738
ner0214,13,ねり,だっけ。,是吗。,1.067
ner0215,13,ねり,……。,……,1.574
ner0216,13,ねり,っ。,！,1.009
ner0217,13,ねり,っ！,！,1.065
ner0218,13,ねり,くあ……。,呜啊……,0.736
ner0219,13,ねり,ひゃあっ！,呀！,0.549
ner0220,13,ねり,んにゃ……。,嗯喵……,2.839
ner0221,13,ねり,びゃー！,呀<dash=2>！,1.178
ner0222,13,ねり,お、お兄ちゃん大丈夫！？,哥、哥哥，你没事吧！？,2.84
ner0223,13,ねり,う、うん、大丈夫。,嗯、嗯，我没事。,2.41
ner0224,13,ねり,ふぅう……びっくりした。,呼……吓我一跳。,3.289
ner0225,13,ねり,あは、ごめん。,啊哈，抱歉。,2.315
ner0226,13,ねり,"見られちゃいけないから……見付かったら
危ないかもしれないから。","因为不能被看到……
被找到可能会很危险。",7.013
ner0227,13,ねり,んぅ……ああ、そうだね、この辺り。,嗯……喔，确实，就在这附近。,4.216
ner0228,13,ねり,"ていうかいま事故にはあってるんだけど？
誰かさんにホールドされて。","话说其实现在也发生了事故吧？
被某个人锁得紧紧的。",7.651
ner0229,13,ねり,まったくもう。,真是的。,1.716
ner0230,13,ねり,……。,……,1.237
ner0231,13,ねり,えいっ。,嘿。,0.574
ner0232,13,ねり,お兄ちゃん……お兄ちゃんだ。,哥哥……是哥哥。,2.647
ner0233,13,ねり,はふぅ。,哈呼～,1.663
ner0234,13,ねり,……。,……,1.623
ner0235,13,ねり,えへへへへ。,嘿嘿嘿嘿。,1.84
ner0236,13,ねり,うん。,嗯。,0.763
ner0237,13,ねり,かも。,大概吧。,0.641
ner0238,13,ねり,……引く？,……吓到了？,1.036
ner0239,13,ねり,～,～,1.832
ner0240,13,ねり,こ、こら。子供扱いしないで。,喂、喂，不许把我当小孩子对待。,3.264
ner0241,13,ねり,"うん。
気付いて欲しかったけど、出て行くのは怖かったから。","嗯。
希望你察觉到，可又不敢出去。",4.817
ner0242,13,ねり,これを探して欲しくて。,就想着让你来找这个东西。,2.147
ner0243,13,ねり,お兄ちゃんがねりを思い出すのは……まずこれかなって。,因为最容易让哥哥想起音理的……就是它了吧。,4.543
ner0244,13,ねり,そうなの？,是吗？,1.369
ner0245,13,ねり,なうっ。,啊呜。,1.112
ner0246,13,ねり,な、なに急に。口説いてる？,干、干嘛冷不丁的。打算泡我吗？,4.246
ner0247,13,ねり,え……気付いてたの？,哎……你发现了吗？,2.311
ner0248,13,ねり,よく気付いたね。意識なくしてたと思った。,真亏你能发现啊。还以为都失去意识了呢。,3.656
ner0249,13,ねり,ん……。,嗯……,0.945
ner0250,13,ねり,えっち。,好色。,0.683
ner0251,13,ねり,スケブを置いたのはねり……だけど。,放写生本的确实是音理……不过。,3.371
ner0252,13,ねり,"お兄ちゃん、絵柄変わった？
なんかコレ怖いよ？","哥哥你的画风是不是变了？
总觉得有点可怕啊？",4.552
ner0253,13,ねり,"これなんの絵なの？
猫の化け物？","这画的是什么啊？
猫妖？",3.376
ner0254,13,ねり,ノワール……。,诺瓦……,1.348
ner0255,13,ねり,夜羽真白？,夜羽真白？,1.207
ner0256,13,ねり,……。,……,1.19
ner0257,13,ねり,いくらなんでもコレはひどいよ。,再怎么说也太难看了吧。,2.96
ner0258,13,ねり,"そりゃ襲われて怖い目にあったのは分かるけど、
女の子をこんな化け物みたいに描くなんて。","被袭击了以后确实会觉得害怕，
但也不该把女生画成怪物吧。",6.797
ner0259,13,ねり,……。,……,1.642
ner0260,13,ねり,知ってる……ううん。知ってるとはちがうかな。,我认识……不，这个说法不对。,5.182
ner0261,13,ねり,理解してる。あの子のことは。,我理解她。,3.211
ner0262,13,ねり,あの子は、ねりと同じなの。,那个女孩和音理一样。,2.719
